experiment,method,notes,cfg.seq_len,cfg.n_layers,cfg.n_heads,cfg.head_dim,cfg.K,cfg.use_kernels,cfg.device,m.latency_ms,m.throughput_tps,m.speedup_vs_baseline,m.p50_ms,m.p90_ms,m.p99_ms,m.std_ms,m.cache_hit_rate,m.n_iter
kernel_bench,baseline,,2048,32,32,128,,,cuda,0.01399333333328793,71462.60123891695,1.0,0.013340999999833514,0.014894000000431618,0.021396000000173387,0.0019383164102406202,0.0,30
kernel_bench,topk_pytorch,,2048,32,32,128,1024,False,cuda,10.122791266666614,98.78698213336718,0.0013823591699817662,9.427615999999972,10.993073999999936,11.113434999998617,0.8087430661244271,0.0,30
kernel_bench,topk_triton,,2048,32,32,128,1024,True,cuda,32.166274333333256,31.088462084143835,0.0004350312127627079,9.329761000000047,10.964676000000395,686.2963240000006,123.5469811296788,0.0,30
kernel_bench,kivi_topk_hybrid,,2048,32,32,128,,,cuda,850.234696533334,1.1761458384106231,1.6458200765439254e-05,847.6662010000027,875.5649410000003,901.6039050000018,20.484012380061916,0.0,30
kernel_bench,baseline,,4096,32,32,128,,,cuda,0.014317566665293194,69844.2705647791,1.0,0.013568999996493858,0.014188999998054896,0.030453999997348546,0.003127935340411884,0.0,30
kernel_bench,topk_pytorch,,4096,32,32,128,1024,False,cuda,13.676479366666191,73.11823263794842,0.001046875170242243,13.605164000004777,13.75322500000209,14.45966200000015,0.21976606587853548,0.0,30
kernel_bench,topk_triton,,4096,32,32,128,1024,True,cuda,13.783840899999452,72.54871898586988,0.001038721120561814,13.783656999997618,13.806892000005178,13.84029299999412,0.01941472185828384,0.0,30
kernel_bench,kivi_topk_hybrid,,4096,32,32,128,,,cuda,1020.4627943666655,0.9799475350991455,1.4030464162271757e-05,1020.3858579999974,1040.0468509999996,1062.828149999987,17.901545838880665,0.0,30
kernel_bench,baseline,,8192,32,32,128,,,cuda,0.014692266667755877,68063.01727388547,1.0,0.013561999992361962,0.01501600000608505,0.03141099999481867,0.0036927658512787434,0.0,30
kernel_bench,topk_pytorch,,8192,32,32,128,1024,False,cuda,22.236119533331568,44.97187553345434,0.0006607387878866372,22.226165000006404,22.29642300000023,22.39962199999468,0.05287716393633308,0.0,30
kernel_bench,topk_triton,,8192,32,32,128,1024,True,cuda,22.789618866665744,43.879628082007756,0.0006446911970628073,22.760685000008607,22.898248999993598,22.9594689999999,0.07009113890670447,0.0,30
kernel_bench,kivi_topk_hybrid,,8192,32,32,128,,,cuda,1356.6595661000026,0.7371045949830332,1.0829737271518915e-05,1351.8856960000107,1380.7790939999904,1448.1390440000014,28.023962450842358,0.0,30
kernel_bench,baseline,,16384,32,32,128,,,cuda,0.01395783333274873,71644.35741281838,1.0,0.013566000006903778,0.013964999993731908,0.0203240000189453,0.001361596504648056,0.0,30
kernel_bench,topk_pytorch,,16384,32,32,128,1024,False,cuda,39.740053766666016,25.16352911527263,0.00035122834545474546,39.74317699999119,39.868573999996215,40.021173999974735,0.12017145890304032,0.0,30
kernel_bench,topk_triton,,16384,32,32,128,1024,True,cuda,40.93514786666883,24.42888451892569,0.0003409742986201304,40.91273199998113,41.14181200000644,41.23627100000249,0.17717996589845678,0.0,30
kernel_bench,kivi_topk_hybrid,,16384,32,32,128,,,cuda,1984.9490420666655,0.5037912706105704,7.031834589676056e-06,1977.1658450000018,2032.9562420000116,2055.892556999993,37.04161500249154,0.0,30
