experiment,method,notes,cfg.seq_len,cfg.depth,cfg.K,cfg.n_sink,cfg.n_local,cfg.bits,cfg.n_trials,m.accuracy,m.n_correct,m.n_trials,m.throughput_tps
passkey_retrieval,baseline,,4096,0.1,1024,128,512,,5,1.0,5,5,42.31190799666804
passkey_retrieval,baseline,,4096,0.3,1024,128,512,,5,1.0,5,5,43.213640334844726
passkey_retrieval,baseline,,4096,0.5,1024,128,512,,5,1.0,5,5,43.33665678607956
passkey_retrieval,baseline,,4096,0.7,1024,128,512,,5,1.0,5,5,42.993942402108914
passkey_retrieval,baseline,,4096,0.9,1024,128,512,,5,1.0,5,5,43.25515984314038
passkey_retrieval,kivi,,4096,0.1,1024,128,512,4,5,1.0,5,5,4.646280836119685
passkey_retrieval,kivi,,4096,0.3,1024,128,512,4,5,1.0,5,5,4.642532427545179
passkey_retrieval,kivi,,4096,0.5,1024,128,512,4,5,1.0,5,5,4.727595245145341
passkey_retrieval,kivi,,4096,0.7,1024,128,512,4,5,1.0,5,5,4.714076369090651
passkey_retrieval,kivi,,4096,0.9,1024,128,512,4,5,1.0,5,5,4.733599904231103
passkey_retrieval,topk,,4096,0.1,1024,128,512,,5,0.0,0,5,25.21429588413653
passkey_retrieval,topk,,4096,0.3,1024,128,512,,5,0.0,0,5,29.833028058980194
passkey_retrieval,topk,,4096,0.5,1024,128,512,,5,0.0,0,5,29.951886180114446
passkey_retrieval,topk,,4096,0.7,1024,128,512,,5,0.0,0,5,29.97933323480934
passkey_retrieval,topk,,4096,0.9,1024,128,512,,5,0.0,0,5,29.8088427432986
passkey_retrieval,kivi_topk,,4096,0.1,1024,128,512,4,5,0.0,0,5,1.7718226154454964
passkey_retrieval,kivi_topk,,4096,0.3,1024,128,512,4,5,0.0,0,5,1.775095049418475
passkey_retrieval,kivi_topk,,4096,0.5,1024,128,512,4,5,0.0,0,5,1.7658572176998377
passkey_retrieval,kivi_topk,,4096,0.7,1024,128,512,4,5,0.0,0,5,1.7675683222573515
passkey_retrieval,kivi_topk,,4096,0.9,1024,128,512,4,5,0.0,0,5,1.7767611184217824
passkey_retrieval,kivi_topk_c,,4096,0.1,1024,128,512,4,5,0.0,0,5,1.756025872139578
passkey_retrieval,kivi_topk_c,,4096,0.3,1024,128,512,4,5,0.0,0,5,1.7746285664745876
passkey_retrieval,kivi_topk_c,,4096,0.5,1024,128,512,4,5,0.0,0,5,1.7757792311907958
passkey_retrieval,kivi_topk_c,,4096,0.7,1024,128,512,4,5,0.0,0,5,1.7712341432823595
passkey_retrieval,kivi_topk_c,,4096,0.9,1024,128,512,4,5,0.0,0,5,1.7725378857764214
passkey_retrieval,baseline,,8192,0.1,1024,128,512,,5,0.0,0,5,32.4837315972194
passkey_retrieval,baseline,,8192,0.3,1024,128,512,,5,0.0,0,5,32.50612511793326
passkey_retrieval,baseline,,8192,0.5,1024,128,512,,5,0.0,0,5,32.50550040336203
passkey_retrieval,baseline,,8192,0.7,1024,128,512,,5,0.0,0,5,32.39600492751622
passkey_retrieval,baseline,,8192,0.9,1024,128,512,,5,0.0,0,5,32.26472031809926
passkey_retrieval,kivi,,8192,0.1,1024,128,512,4,5,0.0,0,5,2.425823343202537
passkey_retrieval,kivi,,8192,0.3,1024,128,512,4,5,0.0,0,5,2.4360399173780243
passkey_retrieval,kivi,,8192,0.5,1024,128,512,4,5,0.0,0,5,2.433951127156458
passkey_retrieval,kivi,,8192,0.7,1024,128,512,4,5,0.0,0,5,2.4392050736810833
passkey_retrieval,kivi,,8192,0.9,1024,128,512,4,5,0.0,0,5,2.439638983791853
passkey_retrieval,topk,,8192,0.1,1024,128,512,,5,0.0,0,5,22.282364009770685
passkey_retrieval,topk,,8192,0.3,1024,128,512,,5,0.0,0,5,22.95424327517852
passkey_retrieval,topk,,8192,0.5,1024,128,512,,5,0.0,0,5,22.885840501093742
passkey_retrieval,topk,,8192,0.7,1024,128,512,,5,0.0,0,5,23.046385260296113
passkey_retrieval,topk,,8192,0.9,1024,128,512,,5,0.0,0,5,22.711224426545826
passkey_retrieval,kivi_topk,,8192,0.1,1024,128,512,4,5,0.0,0,5,1.28499190639502
passkey_retrieval,kivi_topk,,8192,0.3,1024,128,512,4,5,0.0,0,5,1.2842252564176166
passkey_retrieval,kivi_topk,,8192,0.5,1024,128,512,4,5,0.0,0,5,1.2860791608509596
passkey_retrieval,kivi_topk,,8192,0.7,1024,128,512,4,5,0.0,0,5,1.287313612042658
passkey_retrieval,kivi_topk,,8192,0.9,1024,128,512,4,5,0.0,0,5,1.2855736776782514
passkey_retrieval,kivi_topk_c,,8192,0.1,1024,128,512,4,5,0.0,0,5,1.2740382208098755
passkey_retrieval,kivi_topk_c,,8192,0.3,1024,128,512,4,5,0.0,0,5,1.2887435329797783
passkey_retrieval,kivi_topk_c,,8192,0.5,1024,128,512,4,5,0.0,0,5,1.2888374129709335
passkey_retrieval,kivi_topk_c,,8192,0.7,1024,128,512,4,5,0.0,0,5,1.2875212099035647
passkey_retrieval,kivi_topk_c,,8192,0.9,1024,128,512,4,5,0.0,0,5,1.2831656166348964
